"lat" "lng" "bearing" "speed" "user_id" "time" "wday" "got_wifi" "time_to_wifi"
"825" 40.3442 -74.6594 56 0.93825 6 76734.2990000248 5 TRUE 0
"826" 40.3436 -74.6579 121 3.0024 6 76935.9549999237 5 TRUE 45
"827" 40.3429 -74.6605 87 0.7506 6 77528.8929998875 5 TRUE 0
"828" 40.3436 -74.6597 7 0.3753 6 77618.0899999142 5 TRUE 30
"829" 40.3439 -74.6584 271 0.3753 6 77757.5299999714 5 TRUE 180
"830" 40.345 -74.6565 26 1.43865 6 77994.2899999619 5 TRUE 0
"831" 40.3453 -74.6561 71 1.06335 6 78036.882999897 5 TRUE 0
"834" 40.3447 -74.6559 233 1.1259 2 81394.2000000477 5 TRUE 0
"843" 40.3439 -74.6589 321 1.18845 2 83593.5820000172 5 TRUE 0
"864" 40.3492 -74.6544 1.64 0.625 3 41316.128000021 3 TRUE 60
"872" 40.3499 -74.6531 359.68 0.3125 3 71608.3120000362 3 TRUE 0
"876" 40.3463 -74.6581 6.38 0.625 3 86018.3259999752 3 TRUE 0
"877" 40.3463 -74.6582 329.06 0.9375 3 457.516000032425 4 TRUE 0
"884" 40.3463 -74.6581 160.95 0.3125 3 17731.9019999504 4 TRUE 0
"885" 40.3463 -74.6581 0 0.375 3 17847.1089999676 4 TRUE 0
"888" 40.3467 -74.6579 0 0.4375 3 19408.3940000534 4 TRUE 0
"894" 40.3463 -74.6583 287.62 0.375 3 27269.8210000992 4 TRUE 0
"900" 40.3497 -74.6517 0.08 0.625 3 48631.9300000668 4 TRUE 0
"910" 40.3499 -74.6528 63.2 0.375 3 61291.7339999676 4 TRUE 0
"924" 40.3464 -74.6581 38.46 1.25 3 7170.11899995804 5 TRUE 0
"929" 40.3464 -74.6581 65.13 2.1875 3 25467.0720000267 5 TRUE 0
"930" 40.3486 -74.6575 21.28 1.875 3 28046.8800001144 5 TRUE 0
"936" 40.3487 -74.6528 0 0.5 3 40584.0840001106 5 TRUE 0
"937" 40.3488 -74.6528 0 0.5625 3 40703.9519999027 5 TRUE 0
"938" 40.3494 -74.6528 338.17 1.0625 3 42804.9460000992 5 TRUE 0
"941" 40.3497 -74.6519 25.26 1.3125 3 45453.2139999866 5 TRUE 0
"942" 40.347 -74.6598 0 0 2 32344.6050000191 3 TRUE 180
"944" 40.345 -74.6563 0 0 2 29995.0820000172 4 TRUE 0
"946" 40.3481 -74.6539 0 0 4 64349.8489999771 5 FALSE -1
"964" 40.3496 -74.653 359.22 0.625 3 70468.743999958 3 TRUE 0
"979" 40.3462 -74.6579 7.52 1.1875 3 3270.35400009155 5 TRUE 0
"981" 40.3464 -74.658 0.27 0.4375 3 7830.39599990845 5 TRUE 0
"985" 40.3463 -74.6581 0.33 0.25 3 18568.5959999561 5 TRUE 0
"986" 40.3465 -74.6582 356.41 0.625 3 19352.0950000286 5 TRUE 0
"991" 40.3489 -74.6528 0 0.0625 3 39804.8110001087 5 TRUE 0
"992" 40.3488 -74.6527 0 0.375 3 42147.8069999218 5 TRUE 0
"993" 40.3469 -74.66 0 0 2 9301.73300004005 4 TRUE 0
"998" 40.3498 -74.653 244.92 0.375 3 76891.7679998875 3 TRUE 0
"1011" 40.3463 -74.6581 38.65 0.4375 3 1410.20799994469 5 TRUE 0
"1016" 40.3463 -74.6582 37.43 2.4375 3 9387.09400010109 5 TRUE 240
"1018" 40.3464 -74.6581 33.71 0.4375 3 12871.5339999199 5 TRUE 0
"1020" 40.3463 -74.6581 22.23 1.1875 3 14371.9360001087 5 TRUE 60
"1022" 40.3464 -74.6581 4.39 0.75 3 18627.1809999943 5 TRUE 0
"1023" 40.3464 -74.6582 37.2 1.1875 3 19412.0460000038 5 TRUE 0
"1026" 40.3463 -74.6584 9.52 3.125 3 24390.5799999237 5 TRUE 0
"1027" 40.3464 -74.658 28.54 3.375 3 24807.2780001163 5 TRUE 0
"1032" 40.3488 -74.6525 0 0.5 3 40223.9769999981 5 TRUE 0
